Data;Tempo (us);Tempo (ms);Temperatura (°C)
22/12/2022 10:03:18;288608820;288608;23,0
22/12/2022 10:03:18;289108880;289108;23,0
22/12/2022 10:03:19;289608911;289608;23,0
22/12/2022 10:03:19;290108913;290108;23,0
22/12/2022 10:03:20;290608914;290608;23,0
22/12/2022 10:03:20;291109015;291109;23,0
22/12/2022 10:03:21;291609056;291609;23,0
22/12/2022 10:03:21;292109074;292109;23,0
22/12/2022 10:03:22;292609177;292609;22,7
22/12/2022 10:03:22;293109223;293109;22,7
22/12/2022 10:03:23;293609283;293609;22,7
22/12/2022 10:03:23;294109345;294109;22,7
22/12/2022 10:03:24;294609421;294609;22,7
22/12/2022 10:03:24;295109509;295109;23,0
22/12/2022 10:03:25;295609569;295609;22,7
22/12/2022 10:03:25;296109617;296109;23,0
22/12/2022 10:03:26;296609649;296609;22,7
22/12/2022 10:03:26;297109706;297109;23,0
22/12/2022 10:03:27;297609800;297609;22,7
22/12/2022 10:03:27;298109841;298109;23,0
22/12/2022 10:03:28;298609905;298609;23,0
22/12/2022 10:03:28;299109912;299109;23,0
22/12/2022 10:03:29;299609931;299609;22,7
22/12/2022 10:03:29;300109946;300109;23,0
22/12/2022 10:03:30;300609993;300609;23,0
22/12/2022 10:03:30;301110062;301110;23,0
22/12/2022 10:03:31;301610073;301610;23,0
22/12/2022 10:03:31;302110133;302110;23,0
22/12/2022 10:03:32;302610226;302610;23,0
22/12/2022 10:03:32;303110254;303110;23,0
22/12/2022 10:03:33;303610325;303610;23,0
22/12/2022 10:03:33;304110377;304110;23,0
22/12/2022 10:03:34;304610399;304610;23,0
22/12/2022 10:03:34;305110405;305110;23,0
22/12/2022 10:03:35;305610414;305610;23,0
22/12/2022 10:03:35;306110470;306110;23,0
22/12/2022 10:03:36;306610506;306610;23,0
22/12/2022 10:03:36;307110595;307110;23,0
22/12/2022 10:03:37;307610672;307610;23,0
22/12/2022 10:03:37;308110731;308110;23,0
22/12/2022 10:03:38;308610771;308610;23,0
22/12/2022 10:03:38;309110817;309110;23,0
22/12/2022 10:03:39;309610869;309610;23,0
22/12/2022 10:03:39;310110966;310110;23,0
22/12/2022 10:03:40;310611059;310611;23,0
22/12/2022 10:03:40;311111134;311111;23,0
22/12/2022 10:03:41;311611197;311611;23,0
22/12/2022 10:03:41;312111224;312111;23,0
22/12/2022 10:03:42;312611328;312611;23,0
22/12/2022 10:03:42;313111338;313111;23,0
22/12/2022 10:03:43;313611388;313611;23,0
22/12/2022 10:03:43;314111493;314111;23,0
22/12/2022 10:03:44;314611513;314611;23,0
22/12/2022 10:03:44;315111611;315111;23,0
22/12/2022 10:03:45;315611664;315611;23,0
22/12/2022 10:03:45;316111734;316111;23,0
22/12/2022 10:03:46;316611830;316611;23,0
22/12/2022 10:03:46;317111873;317111;23,0
22/12/2022 10:03:47;317611973;317611;23,0
22/12/2022 10:03:47;318111988;318111;23,0
22/12/2022 10:03:48;318612059;318612;23,0
22/12/2022 10:03:48;319112147;319112;23,0
22/12/2022 10:03:49;319612251;319612;23,0
22/12/2022 10:03:49;320112354;320112;23,0
22/12/2022 10:03:50;320612385;320612;23,0
22/12/2022 10:03:50;321112433;321112;23,0
22/12/2022 10:03:51;321612497;321612;23,0
22/12/2022 10:03:51;322112561;322112;23,0
22/12/2022 10:03:52;322612606;322612;23,0
22/12/2022 10:03:52;323112643;323112;23,0
22/12/2022 10:03:53;323612648;323612;23,0
22/12/2022 10:03:53;324112656;324112;23,0
22/12/2022 10:03:54;324612661;324612;23,0
22/12/2022 10:03:54;325112685;325112;23,0
22/12/2022 10:03:55;325612733;325612;23,0
22/12/2022 10:03:55;326112833;326112;23,0
22/12/2022 10:03:56;326612847;326612;23,0
22/12/2022 10:03:56;327112877;327112;23,0
22/12/2022 10:03:57;327612948;327612;23,0
22/12/2022 10:03:57;328112952;328112;23,0
22/12/2022 10:03:58;328612992;328612;23,0
22/12/2022 10:03:58;329113093;329113;23,0
22/12/2022 10:03:59;329613131;329613;23,0
22/12/2022 10:03:59;330113153;330113;23,0
22/12/2022 10:04:00;330613244;330613;23,0
22/12/2022 10:04:00;331113248;331113;23,0
22/12/2022 10:04:01;331613319;331613;23,0
22/12/2022 10:04:01;332113405;332113;23,0
22/12/2022 10:04:02;332613431;332613;23,0
22/12/2022 10:04:02;333113512;333113;23,0
22/12/2022 10:04:03;333613561;333613;23,0
22/12/2022 10:04:03;334113588;334113;23,0
22/12/2022 10:04:04;334613591;334613;23,0
22/12/2022 10:04:04;335113689;335113;23,0
22/12/2022 10:04:05;335613741;335613;23,0
22/12/2022 10:04:05;336113814;336113;23,0
22/12/2022 10:04:06;336613890;336613;23,0
22/12/2022 10:04:06;337113989;337113;23,0
22/12/2022 10:04:07;337613999;337613;23,0
22/12/2022 10:04:07;338114002;338114;23,0
22/12/2022 10:04:08;338614070;338614;23,0
22/12/2022 10:04:08;339114098;339114;23,0
22/12/2022 10:04:09;339614101;339614;23,0
22/12/2022 10:04:09;340114180;340114;23,0
22/12/2022 10:04:10;340614274;340614;23,0
22/12/2022 10:04:10;341114357;341114;23,0
22/12/2022 10:04:11;341614412;341614;23,0
22/12/2022 10:04:11;342114487;342114;23,0
22/12/2022 10:04:12;342614490;342614;23,0
22/12/2022 10:04:12;343114552;343114;23,0
22/12/2022 10:04:13;343614657;343614;23,0
22/12/2022 10:04:13;344114741;344114;23,0
22/12/2022 10:04:14;344614803;344614;23,0
22/12/2022 10:04:14;345114869;345114;23,0
22/12/2022 10:04:15;345614919;345614;23,0
22/12/2022 10:04:15;346114922;346114;23,0
22/12/2022 10:04:16;346614933;346614;23,0
22/12/2022 10:04:16;347114977;347114;23,0
